country,date,category,metric,value,unit,source,ingested_at
PL,2026-07-08,macro,fx_eur_pln,4.3095,eur_local,ecb_frankfurter,2026-07-09T07:55:01Z
PL,2026-07-08,macro,fx_eur_yoy,1.7,pct,ecb_frankfurter,2026-07-09T07:55:01Z
CZ,2026-07-08,macro,fx_eur_czk,24.254,eur_local,ecb_frankfurter,2026-07-09T07:55:01Z
CZ,2026-07-08,macro,fx_eur_yoy,-1.5,pct,ecb_frankfurter,2026-07-09T07:55:01Z
HU,2026-07-08,macro,fx_eur_huf,358.0,eur_local,ecb_frankfurter,2026-07-09T07:55:01Z
HU,2026-07-08,macro,fx_eur_yoy,-10.5,pct,ecb_frankfurter,2026-07-09T07:55:01Z
RO,2026-07-08,macro,fx_eur_ron,5.2363,eur_local,ecb_frankfurter,2026-07-09T07:55:01Z
RO,2026-07-08,macro,fx_eur_yoy,3.1,pct,ecb_frankfurter,2026-07-09T07:55:01Z
BA,2026-07-08,macro,fx_eur_bam,1.95583,eur_local,central_bank_peg,2026-07-09T07:55:01Z
BA,2026-07-08,macro,fx_eur_yoy,0.0,pct,central_bank_peg,2026-07-09T07:55:01Z
SK,2026-07-08,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-07-09T07:55:01Z
BG,2026-07-08,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-07-09T07:55:01Z
HR,2026-07-08,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-07-09T07:55:01Z
SI,2026-07-08,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-07-09T07:55:01Z
GR,2026-07-08,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-07-09T07:55:01Z
LT,2026-07-08,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-07-09T07:55:01Z
LV,2026-07-08,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-07-09T07:55:01Z
EE,2026-07-08,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-07-09T07:55:01Z
