country,date,category,metric,value,unit,source,ingested_at
PL,2026-08-05,macro,fx_eur_pln,4.306,eur_local,ecb_frankfurter,2026-08-06T06:48:34Z
PL,2026-08-05,macro,fx_eur_yoy,0.7,pct,ecb_frankfurter,2026-08-06T06:48:34Z
CZ,2026-08-05,macro,fx_eur_czk,24.195,eur_local,ecb_frankfurter,2026-08-06T06:48:34Z
CZ,2026-08-05,macro,fx_eur_yoy,-1.5,pct,ecb_frankfurter,2026-08-06T06:48:34Z
HU,2026-08-05,macro,fx_eur_huf,362.08,eur_local,ecb_frankfurter,2026-08-06T06:48:34Z
HU,2026-08-05,macro,fx_eur_yoy,-9.1,pct,ecb_frankfurter,2026-08-06T06:48:34Z
RO,2026-08-05,macro,fx_eur_ron,5.2469,eur_local,ecb_frankfurter,2026-08-06T06:48:34Z
RO,2026-08-05,macro,fx_eur_yoy,3.4,pct,ecb_frankfurter,2026-08-06T06:48:34Z
BA,2026-08-05,macro,fx_eur_bam,1.95583,eur_local,central_bank_peg,2026-08-06T06:48:34Z
BA,2026-08-05,macro,fx_eur_yoy,0.0,pct,central_bank_peg,2026-08-06T06:48:34Z
SK,2026-08-05,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-08-06T06:48:34Z
BG,2026-08-05,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-08-06T06:48:34Z
HR,2026-08-05,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-08-06T06:48:34Z
SI,2026-08-05,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-08-06T06:48:34Z
GR,2026-08-05,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-08-06T06:48:34Z
LT,2026-08-05,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-08-06T06:48:34Z
LV,2026-08-05,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-08-06T06:48:34Z
EE,2026-08-05,macro,fx_eur_eur,1.0,eur_local,eurozone,2026-08-06T06:48:34Z
PL,2025-12-01,macro,cpi_hicp_yoy,2.5,pct,eurostat,2026-08-06T06:48:34Z
CZ,2025-12-01,macro,cpi_hicp_yoy,1.8,pct,eurostat,2026-08-06T06:48:34Z
SK,2025-12-01,macro,cpi_hicp_yoy,4.1,pct,eurostat,2026-08-06T06:48:34Z
HU,2025-12-01,macro,cpi_hicp_yoy,3.3,pct,eurostat,2026-08-06T06:48:34Z
RO,2025-12-01,macro,cpi_hicp_yoy,8.6,pct,eurostat,2026-08-06T06:48:34Z
BG,2025-12-01,macro,cpi_hicp_yoy,3.5,pct,eurostat,2026-08-06T06:48:34Z
HR,2025-12-01,macro,cpi_hicp_yoy,3.8,pct,eurostat,2026-08-06T06:48:34Z
SI,2025-12-01,macro,cpi_hicp_yoy,2.6,pct,eurostat,2026-08-06T06:48:34Z
LT,2025-12-01,macro,cpi_hicp_yoy,3.2,pct,eurostat,2026-08-06T06:48:34Z
