country,date,category,metric,value,unit,source,ingested_at
PL,2026-07-11,weather,temp_mean_fc7,19.6,celsius,open_meteo,2026-07-11T06:28:35Z
PL,2026-07-11,weather,temp_min_fc7,14.2,celsius,open_meteo,2026-07-11T06:28:35Z
PL,2026-07-11,weather,snowfall_fc7,0,cm,open_meteo,2026-07-11T06:28:35Z
PL,2026-07-11,weather,snow_days_fc7,0,days,open_meteo,2026-07-11T06:28:35Z
PL,2026-07-11,weather,precip_fc7,41.1,mm,open_meteo,2026-07-11T06:28:35Z
PL,2026-07-11,weather,temp_anomaly_yoy,1.5,celsius,open_meteo,2026-07-11T06:28:36Z
CZ,2026-07-11,weather,temp_mean_fc7,24.2,celsius,open_meteo,2026-07-11T06:28:37Z
CZ,2026-07-11,weather,temp_min_fc7,15.4,celsius,open_meteo,2026-07-11T06:28:37Z
CZ,2026-07-11,weather,snowfall_fc7,0,cm,open_meteo,2026-07-11T06:28:37Z
CZ,2026-07-11,weather,snow_days_fc7,0,days,open_meteo,2026-07-11T06:28:37Z
CZ,2026-07-11,weather,precip_fc7,0,mm,open_meteo,2026-07-11T06:28:37Z
CZ,2026-07-11,weather,temp_anomaly_yoy,5.4,celsius,open_meteo,2026-07-11T06:28:38Z
SK,2026-07-11,weather,temp_mean_fc7,25.6,celsius,open_meteo,2026-07-11T06:28:39Z
SK,2026-07-11,weather,temp_min_fc7,15.9,celsius,open_meteo,2026-07-11T06:28:39Z
SK,2026-07-11,weather,snowfall_fc7,0,cm,open_meteo,2026-07-11T06:28:39Z
SK,2026-07-11,weather,snow_days_fc7,0,days,open_meteo,2026-07-11T06:28:39Z
SK,2026-07-11,weather,precip_fc7,0,mm,open_meteo,2026-07-11T06:28:39Z
SK,2026-07-11,weather,temp_anomaly_yoy,4.4,celsius,open_meteo,2026-07-11T06:28:39Z
HU,2026-07-11,weather,temp_mean_fc7,26.5,celsius,open_meteo,2026-07-11T06:28:40Z
HU,2026-07-11,weather,temp_min_fc7,19.2,celsius,open_meteo,2026-07-11T06:28:40Z
HU,2026-07-11,weather,snowfall_fc7,0,cm,open_meteo,2026-07-11T06:28:40Z
HU,2026-07-11,weather,snow_days_fc7,0,days,open_meteo,2026-07-11T06:28:40Z
HU,2026-07-11,weather,precip_fc7,3.6,mm,open_meteo,2026-07-11T06:28:40Z
HU,2026-07-11,weather,temp_anomaly_yoy,3.3,celsius,open_meteo,2026-07-11T06:28:41Z
RO,2026-07-11,weather,temp_mean_fc7,22.5,celsius,open_meteo,2026-07-11T06:28:41Z
RO,2026-07-11,weather,temp_min_fc7,14.8,celsius,open_meteo,2026-07-11T06:28:41Z
RO,2026-07-11,weather,snowfall_fc7,0,cm,open_meteo,2026-07-11T06:28:41Z
RO,2026-07-11,weather,snow_days_fc7,0,days,open_meteo,2026-07-11T06:28:41Z
RO,2026-07-11,weather,precip_fc7,48.4,mm,open_meteo,2026-07-11T06:28:41Z
RO,2026-07-11,weather,temp_anomaly_yoy,-3.8,celsius,open_meteo,2026-07-11T06:28:42Z
HR,2026-07-11,weather,temp_mean_fc7,25.9,celsius,open_meteo,2026-07-11T06:29:13Z
HR,2026-07-11,weather,temp_min_fc7,12.9,celsius,open_meteo,2026-07-11T06:29:13Z
HR,2026-07-11,weather,snowfall_fc7,0,cm,open_meteo,2026-07-11T06:29:13Z
HR,2026-07-11,weather,snow_days_fc7,0,days,open_meteo,2026-07-11T06:29:13Z
HR,2026-07-11,weather,precip_fc7,5.4,mm,open_meteo,2026-07-11T06:29:13Z
HR,2026-07-11,weather,temp_anomaly_yoy,3.7,celsius,open_meteo,2026-07-11T06:29:15Z
SI,2026-07-11,weather,temp_mean_fc7,24.8,celsius,open_meteo,2026-07-11T06:29:16Z
SI,2026-07-11,weather,temp_min_fc7,14.6,celsius,open_meteo,2026-07-11T06:29:16Z
SI,2026-07-11,weather,snowfall_fc7,0,cm,open_meteo,2026-07-11T06:29:16Z
SI,2026-07-11,weather,snow_days_fc7,0,days,open_meteo,2026-07-11T06:29:16Z
SI,2026-07-11,weather,precip_fc7,0.9,mm,open_meteo,2026-07-11T06:29:16Z
SI,2026-07-11,weather,temp_anomaly_yoy,4.7,celsius,open_meteo,2026-07-11T06:29:16Z
GR,2026-07-11,weather,temp_mean_fc7,29.0,celsius,open_meteo,2026-07-11T06:29:17Z
GR,2026-07-11,weather,temp_min_fc7,22.0,celsius,open_meteo,2026-07-11T06:29:17Z
GR,2026-07-11,weather,snowfall_fc7,0,cm,open_meteo,2026-07-11T06:29:17Z
GR,2026-07-11,weather,snow_days_fc7,0,days,open_meteo,2026-07-11T06:29:17Z
GR,2026-07-11,weather,precip_fc7,0.3,mm,open_meteo,2026-07-11T06:29:17Z
GR,2026-07-11,weather,temp_anomaly_yoy,-0.8,celsius,open_meteo,2026-07-11T06:29:18Z
BA,2026-07-11,weather,temp_mean_fc7,21.2,celsius,open_meteo,2026-07-11T06:29:19Z
BA,2026-07-11,weather,temp_min_fc7,11.0,celsius,open_meteo,2026-07-11T06:29:19Z
BA,2026-07-11,weather,snowfall_fc7,0,cm,open_meteo,2026-07-11T06:29:19Z
BA,2026-07-11,weather,snow_days_fc7,0,days,open_meteo,2026-07-11T06:29:19Z
BA,2026-07-11,weather,precip_fc7,0.5,mm,open_meteo,2026-07-11T06:29:19Z
BA,2026-07-11,weather,temp_anomaly_yoy,0.9,celsius,open_meteo,2026-07-11T06:29:21Z
MD,2026-07-11,weather,temp_mean_fc7,21.8,celsius,open_meteo,2026-07-11T06:29:51Z
MD,2026-07-11,weather,temp_min_fc7,12.3,celsius,open_meteo,2026-07-11T06:29:51Z
MD,2026-07-11,weather,snowfall_fc7,0,cm,open_meteo,2026-07-11T06:29:51Z
MD,2026-07-11,weather,snow_days_fc7,0,days,open_meteo,2026-07-11T06:29:51Z
MD,2026-07-11,weather,precip_fc7,18.4,mm,open_meteo,2026-07-11T06:29:51Z
MD,2026-07-11,weather,temp_anomaly_yoy,-1.0,celsius,open_meteo,2026-07-11T06:29:52Z
LT,2026-07-11,weather,temp_mean_fc7,20.0,celsius,open_meteo,2026-07-11T06:29:52Z
LT,2026-07-11,weather,temp_min_fc7,14.6,celsius,open_meteo,2026-07-11T06:29:52Z
LT,2026-07-11,weather,snowfall_fc7,0,cm,open_meteo,2026-07-11T06:29:52Z
LT,2026-07-11,weather,snow_days_fc7,0,days,open_meteo,2026-07-11T06:29:52Z
